entity_name,technique_id_seq,num_techniques,motive,source
UNC5221,T1595.002 -> T1071.004 -> T1560.001 -> T1059 -> T1059.006 -> T1554 -> T1584.008 -> T1005 -> T1685 -> T1190 -> T1070 -> T1070.004 -> T1070.006 -> T1105 -> T1056.001 -> T1056.003 -> T1095 -> T1027.013 -> T1588.002 -> T1003.001 -> T1003.003 -> T1055 -> T1572 -> T1021.001 -> T1021.002 -> T1021.004 -> T1594 -> T1505.003 -> T1082 -> T1205 -> T1078.002,31,Espionage,https://attack.mitre.org/campaigns/C0029/
Unknown5,T1583.001 -> T1560.001 -> T1059.003 -> T1059.005 -> T1585.002 -> T1105 -> T1588.001 -> T1588.002 -> T1057 -> T1018 -> T1082 -> T1016 -> T1049 -> T1047,14,Espionage,https://attack.mitre.org/campaigns/C0007/
HomeLandJustice,T1134.001 -> T1087.003 -> T1098.002 -> T1059.001 -> T1059.003 -> T1486 -> T1685 -> T1685.001 -> T1561.002 -> T1114.002 -> T1041 -> T1190 -> T1105 -> T1570 -> T1036.005 -> T1046 -> T1588.002 -> T1588.003 -> T1003.001 -> T1021.001 -> T1021.002 -> T1505.003 -> T1078 -> T1078.001 -> T1047,25,Sabotage,https://attack.mitre.org/campaigns/C0038/
UNC6040,T1020 -> T1671 -> T1059.006 -> T1586.002 -> T1213.004 -> T1587.001 -> T1585 -> T1585.002 -> T1567 -> T1083 -> T1036 -> T1588.002 -> T1598.004 -> T1090 -> T1090.003 -> T1684.001 -> T1608.005 -> T1078.002,18,Financial,https://attack.mitre.org/campaigns/C0059/
Lynx,T1098.007 -> T1560.001 -> T1486 -> T1136.002 -> T1567 -> T1133 -> T1490 -> T1087.001 -> T1046 -> T1135 -> T1059.001 -> T1012 -> T1219 -> T1021.001 -> T1018 -> T1082 -> T1016 -> T1078 -> T1059.003 -> T1543.003,20,Financial,https://thedfirreport.com/2025/12/17/cats-got-your-files-lynx-ransomware/
LunarSpider,T1134 -> T1560.001 -> T1548.002 -> T1555.003 -> T1552.001 -> T1078.002 -> T1087.002 -> T1069.002 -> T1482 -> T1189 -> T1027.013 -> T1048 -> T1048.003 -> T1210 -> T1083 -> T1070.004 -> T1105 -> T1059.007 -> T1027.016 -> T1570 -> T1087.001 -> T1069.001 -> T1003.001 -> T1204.002 -> T1036 -> T1046 -> T1135 -> T1571 -> T1059.001 -> T1055 -> T1547.001 -> T1021.001 -> T1018 -> T1218.011 -> T1053.005 -> T1518.001 -> T1569.002 -> T1021.002 -> T1082 -> T1033 -> T1071.001 -> T1059.003 -> T1222.001 -> T1047,44,Financial,https://thedfirreport.com/2025/09/29/from-a-single-click-how-lunar-spider-enabled-a-near-two-month-intrusion/
RansomHub2,T1070.001 -> T1486 -> T1003.006 -> T1087.002 -> T1069.002 -> T1482 -> T1048 -> T1133 -> T1083 -> T1222 -> T1070 -> T1490 -> T1570 -> T1087.001 -> T1069.001 -> T1003.001 -> T1046 -> T1110.003 -> T1059.001 -> T1057 -> T1219 -> T1021.001 -> T1018 -> T1016 -> T1078 -> T1059.005 -> T1059.003 -> T1543.003,28,Financial,https://thedfirreport.com/2025/06/30/hide-your-rdp-password-spray-leads-to-ransomhub-deployment/
ELPACO,T1071 -> T1136 -> T1134.002 -> T1486 -> T1562.004 -> T1562.001 -> T1068 -> T1190 -> T1105 -> T1136.001 -> T1003.001 -> T1112 -> T1003.003 -> T1059.001 -> T1057 -> T1012 -> T1219 -> T1021.001 -> T1018 -> T1016 -> T1059.003 -> T1047 -> T1543.003,23,Financial,https://thedfirreport.com/2025/05/19/another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware/
BlackSuit2,T1134 -> T1560.001 -> T1486 -> T1102.001 -> T1069.002 -> T1482 -> T1189 -> T1567.002 -> T1564.001 -> T1105 -> T1490 -> T1570 -> T1087.001 -> T1069.001 -> T1003.001 -> T1204.002 -> T1127.001 -> T1135 -> T1059.001 -> T1572 -> T1547.001 -> T1218.010 -> T1021.001 -> T1018 -> T1518.001 -> T1569.002 -> T1021.002 -> T1082 -> T1033 -> T1071.001 -> T1059.003 -> T1047,32,Financial,https://thedfirreport.com/2025/03/31/fake-zoom-ends-in-blacksuit-ransomware/
LockBit2,T1070.001 -> T1136 -> T1552.001 -> T1486 -> T1567.002 -> T1190 -> T1105 -> T1003.001 -> T1218.005 -> T1046 -> T1059.001 -> T1057 -> T1219 -> T1021.001 -> T1018 -> T1072 -> T1016 -> T1033 -> T1059.003 -> T1543.003,20,Financial,https://thedfirreport.com/2025/02/24/confluence-exploit-leads-to-lockbit-ransomware/
