entity_name,technique_id_seq,num_techniques,motive,source,source_type
Quantum2,T1566 -> T1047 -> T1059 -> T1204 -> T1059 -> T1569 -> T1053 -> T1068 -> T1134 -> T1003 -> T1482 -> T1082 -> T1018 -> T1615 -> T1614 -> T1124 -> T1135 -> T1087 -> T1083 -> T1033 -> T1021 -> T1570 -> T1021 -> T1074 -> T1071 -> T1567 -> T1486 -> T1531 -> T1218 -> T1562 -> T1553,31,Financial,https://thedfirreport.com/2023/04/03/malicious-iso-file-leads-to-domain-wide-ransomware/,bounded_incident
Quantum3,T1078 -> T1566 -> T1059 -> T1569 -> T1204 -> T1055 -> T1018 -> T1057 -> T1087 -> T1069 -> T1082 -> T1135 -> T1570 -> T1021 -> T1210 -> T1039 -> T1071 -> T1219 -> T1567 -> T1486 -> T1070 -> T1218,22,Financial,https://thedfirreport.com/2022/11/28/emotet-strikes-again-lnk-file-leads-to-domain-wide-ransomware/,bounded_incident
Akira2,T1189 -> T1574 -> T1204 -> T1059 -> T1569 -> T1059 -> T1047 -> T1136 -> T1543 -> T1055 -> T1555 -> T1003 -> T1087 -> T1069 -> T1482 -> T1083 -> T1087 -> T1069 -> T1046 -> T1135 -> T1018 -> T1082 -> T1033 -> T1021 -> T1039 -> T1568 -> T1090 -> T1219 -> T1071 -> T1041 -> T1048 -> T1486 -> T1490 -> T1036 -> T1070 -> T1027,36,Financial,https://thedfirreport.com/2026/06/29/from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira-3/,bounded_incident
Ryuk2,T1078 -> T1204 -> T1047 -> T1569 -> T1059 -> T1055 -> T1087 -> T1482 -> T1046 -> T1012 -> T1018 -> T1518 -> T1021 -> T1071 -> T1486 -> T1218 -> T1562,17,Financial,https://thedfirreport.com/2020/10/08/ryuks-return/,bounded_incident
Ryuk3,T1566 -> T1204 -> T1059 -> T1569 -> T1059 -> T1547 -> T1482 -> T1087 -> T1069 -> T1082 -> T1124 -> T1518 -> T1550 -> T1021 -> T1071 -> T1218,16,Financial,https://thedfirreport.com/2021/01/31/bazar-no-ryuk/,bounded_incident
AppleJeus,T1189 -> T1195 -> T1078 -> T1203 -> T1574 -> T1559 -> T1543 -> T1546 -> T1055 -> T1217 -> T1071 -> T1573 -> T1102 -> T1678 -> T1027 -> T1620 -> T1553 -> T1218,18,Financial,https://attack.mitre.org/campaigns/C0057/,bounded_incident
GTG-1002,T1595 -> T1592 -> T1590 -> T1584 -> T1587 -> T1683 -> T1588 -> T1190 -> T1078 -> T1136 -> T1552 -> T1087 -> T1083 -> T1046 -> T1082 -> T1016 -> T1049 -> T1119 -> T1213 -> T1005 -> T1074 -> T1567,22,Espionage,https://attack.mitre.org/campaigns/C0062/,bounded_incident
APT28,T1584 -> T1669 -> T1059 -> T1110 -> T1003 -> T1016 -> T1021 -> T1560 -> T1074 -> T1090 -> T1567 -> T1561 -> T1140 -> T1006 -> T1686,15,Espionage,https://attack.mitre.org/campaigns/C0051/,bounded_incident
APT41,T1596 -> T1593 -> T1594 -> T1583 -> T1586 -> T1588 -> T1574 -> T1569 -> T1543 -> T1505 -> T1560 -> T1119 -> T1213 -> T1074 -> T1071 -> T1573 -> T1105 -> T1102 -> T1567 -> T1070 -> T1036 -> T1027 -> T1553,23,Espionage,https://attack.mitre.org/campaigns/C0040/,bounded_incident
UAT4356,T1583 -> T1587 -> T1190 -> T1133 -> T1059 -> T1037 -> T1556 -> T1653 -> T1055 -> T1557 -> T1040 -> T1082 -> T1119 -> T1071 -> T1102 -> T1020 -> T1041 -> T1140 -> T1685 -> T1070 -> T1036 -> T1690 -> T1014,23,Espionage,https://attack.mitre.org/campaigns/C0046/,bounded_incident
